GP,Candidate,Score,Decision
MACHINING TECHNOLOGIES,MACHINING TECHNOLOGY,90.47619048,
MATTHEWS LUBRICANTS SIS,MATTHEWS LUBRICANTS,90.47619048,
OMP SRL UNIPERSONALE,O M P SRL UNIPERSONALE,90.47619048,
PRECISE TOOL AND DIE,PRECISION TOOL AND DIE,90.47619048,
CENTRAL TOOL ROOM AND TRAINING CENTRE,CENTRAL TOOL ROOM TRAINING CENTRE MW,90.4109589,
ABU ENGINEERING,ABEC ENGINEERING,90.32258065,
ACRO INDUSTRIES,DATCO INDUSTRIES,90.32258065,
AEV ENGINEERING,ABEC ENGINEERING,90.32258065,
AJP MASKINTEKNIK,LJ MASKINTEKNIK,90.32258065,
AMSTED INDUSTRIES,AMS INDUSTRIES,90.32258065,
B6 MANUFACTRING,BT MANUFACTURING,90.32258065,
BCW ENGINEERING,ABEC ENGINEERING,90.32258065,
BD TECHNOLOGIES,BWX TECHNOLOGIES,90.32258065,
BD TECHNOLOGIES,DRS TECHNOLOGIES,90.32258065,
CARAN PRECISION,CARAGH PRECISION,90.32258065,
CM ENGINEERING,BICAM ENGINEERING,90.32258065,
DANDH INDUSTRIES,DANT INDUSTRIES,90.32258065,
DANT INDUSTRIES,DATCO INDUSTRIES,90.32258065,
DAWN INDUSTRIES,DANDH INDUSTRIES,90.32258065,
DYNAMIC COTROLS,CONTROL DYNAMICS,90.32258065,
ECM TECHNOLOGIES,AE TECHNOLOGIES,90.32258065,
EX TEC INDUSTRIES,TEC INDUSTRIES,90.32258065,
EXIM ENGINEERING,OEM ENGINEERING,90.32258065,
G MANUFACTURING,BT MANUFACTURING,90.32258065,
G MANUFACTURING,CW MANUFACTURING,90.32258065,
G MANUFACTURING,HD MANUFACTURING,90.32258065,
G MANUFACTURING,CK MANUFACTURING,90.32258065,
G MANUFACTURING,CF MANUFACTURING,90.32258065,
G MANUFACTURING,JV MANUFACTURING,90.32258065,
GA ENGINEERING,GUNNA ENGINEERING,90.32258065,
GREAT ENGINEERING,GA ENGINEERING,90.32258065,
GTEC ENGINEERING,GTI ENGINEERING,90.32258065,
HART ENGINEERING,HTT ENGINEERING,90.32258065,
HESS INDUSTRIES,ESSEX INDUSTRIES,90.32258065,
HOJ MASKINTEKNIK,LJ MASKINTEKNIK,90.32258065,
IKAD ENGINEERING,IDT ENGINEERING,90.32258065,
IKAD ENGINEERING,ITD ENGINEERING,90.32258065,
JAP ENGINEERING,JAHN ENGINEERING,90.32258065,
JAP ENGINEERING,JADE ENGINEERING,90.32258065,
KDT FABRICATIONS,KAD FABRICATION,90.32258065,
KX TECHNOLOGIES,BWX TECHNOLOGIES,90.32258065,
MAT INDUSTRIES,MARTIN INDUSTRIES,90.32258065,
MAVAL INDUSTRIES,VALE INDUSTRIES,90.32258065,
MILLAT INDUSTRIES,MAT INDUSTRIES,90.32258065,
ML ENGINEERING,MALAN ENGINEERING,90.32258065,
MR MASCHINENBAU,SMS MASCHINENBAU,90.32258065,
MR MASCHINENBAU,RUF MASCHINENBAU,90.32258065,
NORCEN INDUSTRIES,NRC INDUSTRIES,90.32258065,
PACE INDUSTRIES,PRICE INDUSTRIES,90.32258065,
PAI INDUSTRIES,SAPAIC INDUSTRIES,90.32258065,
PAS TECHNOLOGIES,AE TECHNOLOGIES,90.32258065,
PDC MACHINE SHOP,PI MACHINE SHOP,90.32258065,
PRECISION MACHINE PRODUCTS INC,PRECISION PRODUCTS MACHINE AND F,90.32258065,
PRL INDUSTRIES,SPIROL INDUSTRIES,90.32258065,
PWP ENGINEERING,SPAW ENGINEERING,90.32258065,
REGAL ENGINEERING,GA ENGINEERING,90.32258065,
REVA ENGINEERING,TRA ENGINEERING,90.32258065,
SPAW ENGINEERING,TSP ENGINEERING,90.32258065,
ST ENGINEERING,SCOTT ENGINEERING,90.32258065,
STAR ENGINEERING,SVR ENGINEERING,90.32258065,
STAR ENGINEERING,TRA ENGINEERING,90.32258065,
SVP ENGINEERING,SPAW ENGINEERING,90.32258065,
TEAM INDUSTRIES,THETA INDUSTRIES,90.32258065,
TEAM INDUSTRIES,LATEM INDUSTRIES,90.32258065,
TEXMO INDUSTRIES,TEAM INDUSTRIES,90.32258065,
TEXMO INDUSTRIES,UTEX INDUSTRIES,90.32258065,
US TECHNOLOGIES,TRS TECHNOLOGIES,90.32258065,
ALBA PRECISION MANUFACTURING,PRECISION MANUFACTURING,90.19607843,
ARIES INDUSTRIAL MACHINING,ARGO INDUSTRIAL MACHINING,90.19607843,
SCIENCE AND ENGINEERING,TRIBOSCIENCE AND ENGINEERING,90.19607843,
XUGE INTERNATIONAL LOGISTICS,LOGISTICS INTERNATIONAL,90.19607843,
YIDA PRECISION ENGINEERING,TAE PRECISION ENGINEERING,90.19607843,
AC MACHINE,JC MACHINE,90,
AMI METALS,ATI METALS,90,
ANDERSON MANUFACTURING,AEON MANUFACTURING,90,
BALD EAGLE PRECISION,BLUE EAGLE PRECISION,90,
BETTER ENGINEERING,BETTER ENGINEERING MFG,90,
BLACKHAWK INDUSTRIAL,BLACKHAWK INDUSTRIES,90,
BUCHNER MANUFACTURING,BUSCH MANUFACTURING,90,
C AND C ENGINEERING,ENGINEERING AND CYCLE,90,
CAROLINA PRECISION,CAROLINA PRECISION MFG,90,
CAROLINA PRECISION MANUFACTURING,ALBA PRECISION MANUFACTURING,90,
CARTER MANUFACTURING,HARTEC MANUFACTURING,90,
CARTER MANUFACTURING,CANTEC MANUFACTURING,90,
CR MACHINE,JC MACHINE,90,
CR MACHINE,DC MACHINE,90,
CR MACHINE,AC MACHINE,90,
D AND K POWDER COATING,D K POWDER COATING,90,
DC MACHINE,3D MACHINE,90,
DC MACHINE,AC MACHINE,90,
DC MACHINE,JC MACHINE,90,
DCI METAL FINISHING,CHICO METAL FINISHING,90,
DEAN FOODS,DANI FOODS,90,
DEMSEY MANUFACTURING,DEMMER MANUFACTURING,90,
DGL ENGINEERING PTY,ADLAM ENGINEERING PTY,90,
DUNAMETAL,DUNAN METAL,90,
FANDB MANUFACTURING,B AND B MANUFACTURING,90,
GIL MACHINE AND TOOL,IGD MACHINE AND TOOL,90,
HARTEC MANUFACTURING,CANTEC MANUFACTURING,90,
HAYNES INTERNATIONAL,BARNES INTERNATIONAL,90,
INDUCTION ENG SERVICES,INDUCTION SERVICES,90,
LENNOX MANUFACTURING,KENNCO MANUFACTURING,90,
METALKRAFT,METALCRAFT,90,
METCOR INC,METCON INC,90,
MILTON MANUFACTURING,MARION MANUFACTURING,90,
NEAR NORTH INDUSTRIAL SOLUTIONS,NANOTECH INDUSTRIAL SOLUTIONS,90,
RIMEC GROUP,IMC GROUP,90,
RW MACHINE AND TOOL,ROCK TOOL AND MACHINE,90,
SIRA GROUP,SARA GROUP,90,
SK TRADERS,BS TRADERS,90,
TERMOSTHAL,TERMOSTAHL,90,
TOWNLEY MANUFACTURING,STONY MANUFACTURING,90,
TWINVAC INDUSTRIES,TWINVAC INDUSTRIES PTE,90,
VITAL HEAT TREATMENT,VALUE HEAT TREATMENT,90,
INNER MONGOLIA TAILONG,INNER MONGOLIA TAILONG PIPE,89.79591837,
OHIO METALLURGICAL SERVICES,METALLURGICAL SERVICES,89.79591837,
PZ TOOLING AND ENGINEERING,MP TOOL AND ENGINEERING,89.79591837,
TAE PRECISION ENGINEERING,PS PRECISION ENGINEERING,89.79591837,
THUMB TOOL AND ENGINEERING,MP TOOL AND ENGINEERING,89.79591837,
3D INSTRUMENTS,IDM INSTRUMENTS,89.65517241,
A E BLAKE SALES,AE BLAKE SALES,89.65517241,
ACK INDUSTRIES,BECK INDUSTRIES,89.65517241,
ACK INDUSTRIES,AK S INDUSTRIES,89.65517241,
ACRO INDUSTRIES,ARI INDUSTRIES,89.65517241,
ACRO INDUSTRIES,AMO INDUSTRIES,89.65517241,
ACRO INDUSTRIES,ARD INDUSTRIES,89.65517241,
ACRO INDUSTRIES,AFC INDUSTRIES,89.65517241,
ACRO INDUSTRIES,ACK INDUSTRIES,89.65517241,
AFAB INDUSTRIES,AFC INDUSTRIES,89.65517241,
AFAB INDUSTRIES,AB5 INDUSTRIES,89.65517241,
AFAB INDUSTRIES,ASB INDUSTRIES,89.65517241,
AH INDUSTRIES,DANDH INDUSTRIES,89.65517241,
AH INDUSTRIES,BARTH INDUSTRIES,89.65517241,
AJM ENGINEERING,CM ENGINEERING,89.65517241,
AK S INDUSTRIES,M A INDUSTRIES,89.65517241,
ALPHA PRECISION,ALFA PRECISION,89.65517241,
AMS INDUSTRIES,APUS INDUSTRIES,89.65517241,
APUS INDUSTRIES,ASB INDUSTRIES,89.65517241,
BCW ENGINEERING,CM ENGINEERING,89.65517241,
BECK INDUSTRIES,ECM INDUSTRIES,89.65517241,
BECK INDUSTRIES,BCF INDUSTRIES,89.65517241,
BKW INSTRUMENTS,BC INSTRUMENTS,89.65517241,
C K ENGINEERING,SK ENGINEERING,89.65517241,
C K ENGINEERING,CM ENGINEERING,89.65517241,
CAROLINA PRECISION MANUFACTURING,AO PRECISION MANUFACTURING,89.65517241,
CLT ENGINEERING,CM ENGINEERING,89.65517241,
CM ENGINEERING,BML ENGINEERING,89.65517241,
CM ENGINEERING,CCJ ENGINEERING,89.65517241,
CNH ENGINEERING,DH ENGINEERING,89.65517241,
CNH ENGINEERING,CM ENGINEERING,89.65517241,
COG INDUSTRIES,ACRO INDUSTRIES,89.65517241,
CPT ENGINEERING,CM ENGINEERING,89.65517241,
CRD ENGINEERING,DH ENGINEERING,89.65517241,
CRD ENGINEERING,CM ENGINEERING,89.65517241,
CRP INDUSTRIES,ACRO INDUSTRIES,89.65517241,
DELTA INDUSTRIE,DEL INDUSTRIES,89.65517241,
DH ENGINEERING,DPF ENGINEERING,89.65517241,
DKT ENGINEERING,DH ENGINEERING,89.65517241,
DLI ENGINEERING,DH ENGINEERING,89.65517241,
DR HYDRAULICS AND ENGINEERING,PH HYDRAULICS AND ENGINEERING,89.65517241,
GA ENGINEERING,GTI ENGINEERING,89.65517241,
GA ENGINEERING,JAP ENGINEERING,89.65517241,
GA ENGINEERING,GRF ENGINEERING,89.65517241,
GA ENGINEERING,OAK ENGINEERING,89.65517241,
GB ENGINEERING,NBS ENGINEERING,89.65517241,
GB ENGINEERING,GRF ENGINEERING,89.65517241,
GRF ENGINEERING,JR ENGINEERING,89.65517241,
GTI ENGINEERING,GB ENGINEERING,89.65517241,
GTI ENGINEERING,PT ENGINEERING,89.65517241,
GV ENTERPRISES,JGB ENTERPRISES,89.65517241,
HMS INDUSTRIES,HESS INDUSTRIES,89.65517241,
I M MACHINE AND FABRICATION,L AND M FABRICATION AND MACHINE,89.65517241,
INDUSTRIES TLT,UTIL INDUSTRIES,89.65517241,
IRC ENGINEERING,JR ENGINEERING,89.65517241,
J P ENGINEERING,LJ ENGINEERING,89.65517241,
J P ENGINEERING,JR ENGINEERING,89.65517241,
JR ENGINEERING,JMS ENGINEERING,89.65517241,
JR ENGINEERING,JAP ENGINEERING,89.65517241,
L W ENGINEERING,XL ENGINEERING,89.65517241,
LES INDUSTRIES,VALE INDUSTRIES,89.65517241,
LJ ENGINEERING,JMS ENGINEERING,89.65517241,
LJ ENGINEERING,JAP ENGINEERING,89.65517241,
LJ ENGINEERING,L W ENGINEERING,89.65517241,
LUUS INDUSTRIES,LES INDUSTRIES,89.65517241,
MASS PRECISION,MANDS PRECISION,89.65517241,
MAUN INDUSTRIES,MAT INDUSTRIES,89.65517241,
ML ENGINEERING,OEM ENGINEERING,89.65517241,
ML ENGINEERING,JMS ENGINEERING,89.65517241,
ML ENGINEERING,MRP ENGINEERING,89.65517241,
ML ENGINEERING,HCM ENGINEERING,89.65517241,
ML ENGINEERING,L W ENGINEERING,89.65517241,
MRP ENGINEERING,JR ENGINEERING,89.65517241,
MTQ ENGINEERING,ST ENGINEERING,89.65517241,
MTQ ENGINEERING,ML ENGINEERING,89.65517241,
MUM INDUSTRIES,MAUN INDUSTRIES,89.65517241,
N R ENGINEERING,JR ENGINEERING,89.65517241,
NBS ENGINEERING,ST ENGINEERING,89.65517241,
NEW_CUST_PLUG,NEW_CUST_PLUG_19,89.65517241,
OMEGA PRECISION,KOMA PRECISION,89.65517241,
OPG ENGINEERING,GA ENGINEERING,89.65517241,
OPG ENGINEERING,GB ENGINEERING,89.65517241,
OPG ENGINEERING,PT ENGINEERING,89.65517241,
OWENS CORNINGLES,OWENS CORNING,89.65517241,
PAI INDUSTRIES,PACE INDUSTRIES,89.65517241,
PRODUCTOS MAGAN,MAGMA PRODUCTS,89.65517241,
PT ENGINEERING,MTQ ENGINEERING,89.65517241,
PT ENGINEERING,MRP ENGINEERING,89.65517241,
PT ENGINEERING,JAP ENGINEERING,89.65517241,
PT ENGINEERING,HTT ENGINEERING,89.65517241,
PT ENGINEERING,IDT ENGINEERING,89.65517241,
PT ENGINEERING,J P ENGINEERING,89.65517241,
PT ENGINEERING,ITD ENGINEERING,89.65517241,
PWP ENGINEERING,PT ENGINEERING,89.65517241,
PYLE INDUSTRIES,PRL INDUSTRIES,89.65517241,
PYLE INDUSTRIES,LES INDUSTRIES,89.65517241,
SCH ENGINEERING,ST ENGINEERING,89.65517241,
SHAW INDUSTRIES,TSW INDUSTRIES,89.65517241,
SK ENGINEERING,SVR ENGINEERING,89.65517241,
SK ENGINEERING,SCH ENGINEERING,89.65517241,
SK ENGINEERING,OAK ENGINEERING,89.65517241,
SK ENGINEERING,NBS ENGINEERING,89.65517241,
SK ENGINEERING,JMS ENGINEERING,89.65517241,
SK ENGINEERING,K N ENGINEERING,89.65517241,
SRC ELECTRICAL,SCOT ELECTRICAL,89.65517241,
ST ENGINEERING,JMS ENGINEERING,89.65517241,
ST ENGINEERING,ITD ENGINEERING,89.65517241,
ST ENGINEERING,HTT ENGINEERING,89.65517241,
ST ENGINEERING,GTI ENGINEERING,89.65517241,
ST ENGINEERING,IDT ENGINEERING,89.65517241,
SVP ENGINEERING,ST ENGINEERING,89.65517241,
SVP ENGINEERING,SK ENGINEERING,89.65517241,
SVP ENGINEERING,PT ENGINEERING,89.65517241,
SVR ENGINEERING,ST ENGINEERING,89.65517241,
SVR ENGINEERING,JR ENGINEERING,89.65517241,
TEC INDUSTRIES,UTEX INDUSTRIES,89.65517241,
TEC INDUSTRIES,TEAM INDUSTRIES,89.65517241,
TMB INDUSTRIES,TEAM INDUSTRIES,89.65517241,
TNL ENGINEERING,ST ENGINEERING,89.65517241,
TNL ENGINEERING,XL ENGINEERING,89.65517241,
TNL ENGINEERING,PT ENGINEERING,89.65517241,
TNL ENGINEERING,ML ENGINEERING,89.65517241,
TNL ENGINEERING,LJ ENGINEERING,89.65517241,
TRA ENGINEERING,JR ENGINEERING,89.65517241,
TRA ENGINEERING,GA ENGINEERING,89.65517241,
TRA ENGINEERING,ST ENGINEERING,89.65517241,
TRA ENGINEERING,PT ENGINEERING,89.65517241,
TSP ENGINEERING,ST ENGINEERING,89.65517241,
TSP ENGINEERING,SK ENGINEERING,89.65517241,
TSP ENGINEERING,PT ENGINEERING,89.65517241,
VDL INDUSTRIES,VALE INDUSTRIES,89.65517241,
VSR INDUSTRIES,VOSS INDUSTRIES,89.65517241,
GRAHAM MACHINE SALES AND SERVICES INC,GRAHAM MACHINELES AND SERVICES,89.55223881,
AEON MANUFACTURING,CALLEN MANUFACTURING,89.47368421,
ALCO MANUFACTURING,FARMCO MANUFACTURING,89.47368421,
ALLIETECH ENGINEERING,ALTEC ENGINEERING,89.47368421,
ANCA MANUFACTURING,AMANDA MANUFACTURING,89.47368421,
ANCA MANUFACTURING,CANTEC MANUFACTURING,89.47368421,
APEX BUILDING SUPPLY,A1 BUILDING SUPPLY,89.47368421,
APEX METAL PRODUCTS,ACME METAL PRODUCTS,89.47368421,
BILLCO MANUFACTURING,ALCO MANUFACTURING,89.47368421,
BIMBA MANUFACTURING,IMAGE MANUFACTURING,89.47368421,
BIMBA MANUFACTURING,MAC B MANUFACTURING,89.47368421,
BURLOAK TOOL AND DIE,BROOK TOOL AND DIE,89.47368421,
CALEDON PRECISION,CALENARDHON PRECISION,89.47368421,
CARLING TECHNOLOGIES,CRAIG TECHNOLOGIES,89.47368421,
CARRIER MANUFACTURING,AER MANUFACTURING,89.47368421,
CARTER MANUFACTURING,CURT MANUFACTURING,89.47368421,
CHARTER MANUFACTURING,AER MANUFACTURING,89.47368421,
CHIRTON ENGINEERING,CLIFTON ENGINEERING,89.47368421,
CNC MANUFACTURING,CMJ MANUFACTURING INC,89.47368421,
CUSTOM MACHINE WORKS,RMS CUSTOM MACHINE,89.47368421,
D K POWDER COATING,DANDK POWDER COATING,89.47368421,
DCS ENGINEERING PTY,DGL ENGINEERING PTY,89.47368421,
DCS ENGINEERING PTY,J C ENGINEERING PTY,89.47368421,
FECHNER ENGINEERING,FISCHER ENGINEERING,89.47368421,
GARMIN INTERNATIONAL,GOIN INTERNATIONAL,89.47368421,
GULFCO MANUFACTURING,ALCO MANUFACTURING,89.47368421,
HANA INTERNATIONAL,HAYNES INTERNATIONAL,89.47368421,
HANSEN MANUFACTURING,AEON MANUFACTURING,89.47368421,
HENRY MANUFACTURING,ELRAY MANUFACTURING,89.47368421,
IMAGE MANUFACTURING,EAGLE MANUFACTURING,89.47368421,
INTERNATIONAL FENCE,FEECO INTERNATIONAL,89.47368421,
INTERNATIONAL PLATING,LAI INTERNATIONAL,89.47368421,
KELTECH ENGINEERING,LYNTECH ENGINEERING,89.47368421,
LOC INDUSTRIES INC,LOGUE INDUSTRIES INC,89.47368421,
MACRO INDUSTRIES INC,MCF INDUSTRIES INC,89.47368421,
MANDR MANUFACTURING,FANDB MANUFACTURING,89.47368421,
MANUFACTURING SYSTEMS,STS MANUFACTURING,89.47368421,
MARION MANUFACTURING,MARS MANUFACTURING,89.47368421,
MCR ENGINEERING COD,M C ENGINEERING COD,89.47368421,
MON INTERNATIONAL,SIMONDS INTERNATIONAL,89.47368421,
NEWCO MANUFACTURING,WEBCO MANUFACTURING,89.47368421,
OLIVER TECHNOLOGIES,ROLLER TECHNOLOGIES,89.47368421,
RAO MANUFACTURING,TRANSCO MANUFACTURING,89.47368421,
SAE MANUFACTURING,SARGENT MANUFACTURING,89.47368421,
SATURN TOOL AND DIE,STUART TOOL AND DIE,89.47368421,
SOLDY MANUFACTURING,STONY MANUFACTURING,89.47368421,
TOOLING TECHNOLOGIES,TOOLING TECHNOLOGY,89.47368421,
TRANSCO MANUFACTURING,TAC MANUFACTURING,89.47368421,
TRD MANUFACTURING,TONNARD MANUFACTURING,89.47368421,
VARLEY HYDRAULICS,VARLEY HYDRAULICS MWI,89.47368421,
YING MING INDUSTRIAL,YU MING INDUSTRIAL,89.47368421,
ZEPHYR MANUFACTURING,ZERO MANUFACTURING,89.47368421,
ATG PRECISION PRODUCTS,AUSTIN PRECISION PRODUCTS,89.36170213,
BERG ENGINEERING AND SALES,SALES AND ENGINEERING,89.36170213,
HEAT TREATMENT SHENGXING,LONGXING HEAT TREATMENT,89.36170213,
MARMAC SPECIALTY PRODUCTS,SPECIALTY BAR PRODUCTS,89.36170213,
MID AMERICA MANUFACTURING,AMERICAN MANUFACTURING,89.36170213,
SERVICE ENGINEERING INC,IGR ENGINEERING SERVICES,89.36170213,
SHENGXING HEAT TREATMENT,LONGXING HEAT TREATMENT,89.36170213,
TALLERES MECANICOS ELKAR,TALLERES MECANICOS LERA,89.36170213,
TESSA PRECISION PRODUCTS,STAR PRECISION PRODUCTS,89.36170213,
A D MANUFACTURING,MANDR MANUFACTURING,88.88888889,
AALBERTS SURFACE TECHNOLOGIES VENLO,ALBERTS SURFACE TECHNOLOGIES,88.88888889,
AB5 INDUSTRIES,AH INDUSTRIES,88.88888889,
AB5 INDUSTRIES,AK INDUSTRIES,88.88888889,
AB5 INDUSTRIES,AZ INDUSTRIES,88.88888889,
AB5 INDUSTRIES,AI INDUSTRIES,88.88888889,
ABCO PRODUCTS,AIRCO PRODUCTS,88.88888889,
ABCO PRODUCTS,BROCO PRODUCTS,88.88888889,
ABCO PRODUCTS,MALCO PRODUCTS,88.88888889,
ABS MACHINING,BESI MACHINING,88.88888889,
ABS PRECISION,AXIS PRECISION,88.88888889,
ABS PRECISION,BOSS PRECISION,88.88888889,
ABS PRECISION,MASS PRECISION,88.88888889,
ACE SAW SERVICE,ACEW SERVICE,88.88888889,
ACK INDUSTRIES,AH INDUSTRIES,88.88888889,
ACK INDUSTRIES,AI INDUSTRIES,88.88888889,
ACK INDUSTRIES,AZ INDUSTRIES,88.88888889,
ACS GROUP,ARC GROUP,88.88888889,
ADEPT MANUFACTURING,A D MANUFACTURING,88.88888889,
ADEPT MANUFACTURING,AER MANUFACTURING,88.88888889,
ADEPT MANUFACTURING,EIP MANUFACTURING,88.88888889,
ADMA PRODUCTS,MAGMA PRODUCTS,88.88888889,
AEON MANUFACTURING,LYON MANUFACTURING,88.88888889,
AER MANUFACTURING,ELRAY MANUFACTURING,88.88888889,
AGES,AGEUS,88.88888889,
AH INDUSTRIES,AFC INDUSTRIES,88.88888889,
AI INDUSTRIES,AFC INDUSTRIES,88.88888889,
AK INDUSTRIES,AFC INDUSTRIES,88.88888889,
ALCO MANUFACTURING,AEON MANUFACTURING,88.88888889,
ALCO MANUFACTURING,ANCA MANUFACTURING,88.88888889,
ALEX MACHINE TOOLS,EAGLE MACHINE TOOL,88.88888889,
ALGI INDUSTRIE,AI INDUSTRIES,88.88888889,
ALMA PRODUCTS,MAGMA PRODUCTS,88.88888889,
ALPHA MANUFACTURING,BAP MANUFACTURING,88.88888889,
ALPHA PRECISION,LA PRECISION,88.88888889,
AMBAC INTERNATIONAL,ARC INTERNATIONAL,88.88888889,
AMER GROUP,AE GROUP,88.88888889,
AMERICAN AXLE,AMERICAN BALER,88.88888889,
AMG INDUSTRIES,AI INDUSTRIES,88.88888889,
AMG INDUSTRIES,AK INDUSTRIES,88.88888889,
AMG INDUSTRIES,AZ INDUSTRIES,88.88888889,
AMG INDUSTRIES,AH INDUSTRIES,88.88888889,
AMO INDUSTRIES,AH INDUSTRIES,88.88888889,
AMO INDUSTRIES,AI INDUSTRIES,88.88888889,
AMO INDUSTRIES,AK INDUSTRIES,88.88888889,
AMO INDUSTRIES,AZ INDUSTRIES,88.88888889,
AMRC,NAMRC,88.88888889,
AMS INDUSTRIES,AH INDUSTRIES,88.88888889,
AMS INDUSTRIES,AI INDUSTRIES,88.88888889,
AMS INDUSTRIES,AK INDUSTRIES,88.88888889,
ANCA MANUFACTURING,AEON MANUFACTURING,88.88888889,
ANEL,ANDEL,88.88888889,
ANEL,PANEL,88.88888889,
ARCONIA ENGINEERING,ARCOT ENGINEERING,88.88888889,
ARD INDUSTRIES,AH INDUSTRIES,88.88888889,
ARD INDUSTRIES,AI INDUSTRIES,88.88888889,
ARD INDUSTRIES,AK INDUSTRIES,88.88888889,
ARD INDUSTRIES,AZ INDUSTRIES,88.88888889,
ARDEX,AREX,88.88888889,
ARI INDUSTRIES,AK INDUSTRIES,88.88888889,
ARI INDUSTRIES,AZ INDUSTRIES,88.88888889,
ARI INDUSTRIES,AH INDUSTRIES,88.88888889,
ARJ TECHNOLOGY,QA TECHNOLOGY,88.88888889,
ASB INDUSTRIES,AK INDUSTRIES,88.88888889,
ASB INDUSTRIES,AZ INDUSTRIES,88.88888889,
ASB INDUSTRIES,AH INDUSTRIES,88.88888889,
ASB INDUSTRIES,AI INDUSTRIES,88.88888889,
ASCENX TECHNOLOGIES,APEX TECHNOLOGIES,88.88888889,
ATEK,ABTEK,88.88888889,
ATEK,ALTEK,88.88888889,
ATEK,AMTEK,88.88888889,
ATRION MEDICAL,ASTRO MEDICAL,88.88888889,
AVIC,MAVIC,88.88888889,
AVS GROUP,ACS GROUP,88.88888889,
AWC MANUFACTURING,MAC B MANUFACTURING,88.88888889,
AXIS PRECISION,MAX PRECISION,88.88888889,
AZ INDUSTRIES,AMS INDUSTRIES,88.88888889,
AZ INDUSTRIES,AFC INDUSTRIES,88.88888889,
BAKER ENGINEERING,BRAKKEN ENGINEERING,88.88888889,
BAP MANUFACTURING,MAC B MANUFACTURING,88.88888889,
BAP MANUFACTURING,ADEPT MANUFACTURING,88.88888889,
BAP MANUFACTURING,BAKER MANUFACTURING,88.88888889,
BESA,BERSA,88.88888889,
BIMBA MANUFACTURING,KIM MANUFACTURING,88.88888889,
BIMBA MANUFACTURING,BAP MANUFACTURING,88.88888889,
BIMBA MANUFACTURING,BLB MANUFACTURING,88.88888889,
BLACK AND,BLOCK AND,88.88888889,
BMS MANUFACTURING,BIMBA MANUFACTURING,88.88888889,
BMS MANUFACTURING,MAC B MANUFACTURING,88.88888889,
BOYCE PRECISION ENGINEERING,BISEP PRECISION ENGINEERING,88.88888889,
BUSCH MANUFACTURING,BMS MANUFACTURING,88.88888889,
BUTTY MANUFACTURING,FTT MANUFACTURING,88.88888889,
BWISE MANUFACTURING,BMS MANUFACTURING,88.88888889,
CAB POWDER COATING,AFI POWDER COATING,88.88888889,
CHIPS MANUFACTURING,EHS MANUFACTURING,88.88888889,
CHIPS MANUFACTURING,EIP MANUFACTURING,88.88888889,
CINE,CINEX,88.88888889,
CISA,CICSA,88.88888889,
CISA,CISLA,88.88888889,
CNC POWDER COATING,CAB POWDER COATING,88.88888889,
COMA,COMAP,88.88888889,
COMA,COMAR,88.88888889,
COMA,COMAS,88.88888889,
COMA,COMAU,88.88888889,
COMEC,OMEC,88.88888889,
CORNELL ENGINEERING,CHELL ENGINEERING,88.88888889,
CROW MANUFACTURING,ALCO MANUFACTURING,88.88888889,
CROW MANUFACTURING,CURT MANUFACTURING,88.88888889,
CROWN ENGINEERING,CHIRTON ENGINEERING,88.88888889,
CSS MANUFACTURING,CHIPS MANUFACTURING,88.88888889,
D H INDUSTRIES,AH INDUSTRIES,88.88888889,
D H INDUSTRIES,D4 INDUSTRIES,88.88888889,
D4 INDUSTRIES,ARD INDUSTRIES,88.88888889,
D4 INDUSTRIES,BDM INDUSTRIES,88.88888889,
D4 INDUSTRIES,DEL INDUSTRIES,88.88888889,
DACOL ENGINEERING,AK COLE ENGINEERING,88.88888889,
DAMAN PRODUCTS,ADMA PRODUCTS,88.88888889,
DAMAN PRODUCTS,ALMA PRODUCTS,88.88888889,
DIE TECH INDUSTRIES,EX TEC INDUSTRIES,88.88888889,
EAGLE MANUFACTURING,AER MANUFACTURING,88.88888889,
EAGLE MANUFACTURING,CGL MANUFACTURING,88.88888889,
ECOL,ECOOL,88.88888889,
EKON,ELKON,88.88888889,
ELETROPO,ELETROPOLL,88.88888889,
ELMA,ELMAR,88.88888889,
ELMEC,EMEC,88.88888889,
ERA INDUSTRIES,AH INDUSTRIES,88.88888889,
ERA INDUSTRIES,AI INDUSTRIES,88.88888889,
ERA INDUSTRIES,AK INDUSTRIES,88.88888889,
ERA INDUSTRIES,AZ INDUSTRIES,88.88888889,
ERCO,ERICO,88.88888889,
FACO,FALCO,88.88888889,
FANDB MANUFACTURING,A D MANUFACTURING,88.88888889,
FIDAT,FIAT,88.88888889,
FIME,FIMEX,88.88888889,
FIMEK,FIME,88.88888889,
FIMEX,IMEX,88.88888889,
FTT MANUFACTURING,FAITH MANUFACTURING,88.88888889,
GAUTHIER INDUSTRIES,GAUMER INDUSTRIES,88.88888889,
GL ELETRO,ELETROGIL,88.88888889,
GS PRECISION,PRECISION GEARS,88.88888889,
HACO,HARCO,88.88888889,
HARSH INTERNATIONAL,ARC INTERNATIONAL,88.88888889,
HAWKES MACHINE TOOLS,HW MACHINE TOOLS,88.88888889,
HAYES MANUFACTURING,AER MANUFACTURING,88.88888889,
HAYES MANUFACTURING,EHS MANUFACTURING,88.88888889,
HENRY MANUFACTURING,AER MANUFACTURING,88.88888889,
HMS INDUSTRIES,AH INDUSTRIES,88.88888889,
